"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Dalton Schultz","HOU","TE19","0.0","0.0","0.0","65.8","629.5","3.4","0.2","115.7"
"KC Concepcion","CLE","WR61","4.2","22.4","0.1","54.6","690.8","3.1","1.3","115.4"
"Jerry Jeudy","CLE","WR62","0.5","2.0","0.0","53.2","726.3","2.9","0.7","115.1"
"Rashod Bateman","BAL","WR63","0.0","0.0","0.0","38.4","595.5","6.0","0.2","114.3"
"Alvin Kamara","NO","RB42","127.9","492.2","2.8","35.1","243.2","1.3","0.8","113.9"
"Tyjae Spears","TEN","RB43","92.1","367.6","2.9","45.9","305.5","1.2","0.7","113.4"
"Jayden Higgins","HOU","WR64","0.0","0.0","0.0","49.3","608.3","4.7","0.2","113.3"
"Zach Charbonnet","SEA","RB44","130.5","533.0","5.6","19.8","147.0","0.5","0.7","113.2"
"Woody Marks","HOU","RB45","142.6","556.1","2.7","24.0","197.7","1.8","0.8","112.3"
"Jalen McMillan","TB","WR65","4.7","26.8","0.1","46.7","607.1","3.9","0.2","110.6"
"Jauan Jennings","MIN","WR66","0.0","0.0","0.0","48.7","557.1","5.2","0.7","109.6"
"T.J. Hockenson","MIN","TE20","0.0","0.0","0.0","63.9","574.1","3.3","0.2","108.7"
"Jalen Nailor","LV","WR67","2.0","8.5","0.0","43.6","589.9","4.5","0.2","108.5"
"Pat Freiermuth","PIT","TE21","0.0","0.0","0.0","53.0","558.3","4.3","0.2","107.4"
"Tyrone Tracy Jr.","NYG","RB46","122.8","521.8","2.5","26.7","203.6","1.2","0.8","106.7"
"De'Zhaun Stribling","SF","WR68","1.5","6.5","0.0","45.1","635.2","3.7","1.2","106.4"
"Greg Dulcich","MIA","TE22","0.0","0.0","0.0","54.6","620.3","3.2","1.2","106.2"
"Isiah Pacheco","DET","RB47","139.2","581.7","3.5","21.1","136.2","0.6","0.8","105.4"
"Kenyon Sadiq","NYJ","TE23","0.0","0.0","0.0","51.1","558.4","4.1","0.7","104.5"
"Adonai Mitchell","NYJ","WR69","2.2","11.2","0.1","41.5","610.8","3.5","0.5","103.8"
"Antonio Williams","WAS","WR70","3.0","18.7","0.1","43.7","597.5","3.6","1.2","103.2"
"Cade Otton","TB","TE24","0.0","0.0","0.0","55.2","557.9","3.1","0.1","101.7"
"Cooper Kupp","SEA","WR71","0.5","1.5","0.0","47.4","583.9","3.4","0.7","101.4"
"AJ Barner","SEA","TE25","0.0","0.0","0.0","48.6","469.6","4.9","0.2","100.1"
"Denzel Boston","CLE","WR72","1.0","5.0","0.0","47.8","596.6","2.9","0.8","99.8"
"Justice Hill","BAL","RB48","56.4","274.1","2.2","34.7","303.6","1.8","0.2","98.8"
"Chig Okonkwo","WAS","TE26","0.0","0.0","0.0","52.5","555.4","2.7","0.1","97.9"
"Omar Cooper Jr.","NYJ","WR73","2.1","12.5","0.1","46.3","550.9","3.3","1.2","97.3"
"Oronde Gadsden II","LAC","TE27","0.0","0.0","0.0","44.2","549.9","3.5","0.7","96.7"
"Terrance Ferguson","LAR","TE28","0.0","0.0","0.0","36.3","500.4","4.8","0.2","96.7"
"Germie Bernard","PIT","WR74","2.1","10.8","0.0","44.6","550.8","3.1","0.8","95.8"
"Chris Rodriguez Jr.","JAC","RB49","133.8","553.1","5.1","5.4","42.5","0.1","0.6","92.1"
"Mike Gesicki","CIN","TE29","0.0","0.0","0.0","44.0","461.5","3.9","0.1","91.2"
"Travis Hunter","JAC","WR75","2.0","10.8","0.1","41.6","496.2","3.3","0.4","90.8"
"Xavier Legette","CAR","WR76","2.1","10.8","0.1","41.7","500.5","3.2","0.4","90.8"
"Evan Engram","DEN","TE30","0.0","0.0","0.0","53.4","472.2","2.7","0.1","90.0"
"Ja'Kobi Lane","BAL","WR77","1.5","8.5","0.0","31.9","506.2","3.9","0.6","89.7"
"Brian Robinson Jr.","ATL","RB50","129.8","565.1","4.3","6.9","43.0","0.1","0.7","89.7"
"Kayshon Boutte","NE","WR78","0.0","0.0","0.0","32.0","486.2","4.2","0.1","89.5"
"Dylan Sampson","CLE","RB51","72.8","250.8","1.3","35.2","278.9","2.1","1.2","88.7"
"Darnell Mooney","NYG","WR79","1.1","6.0","0.0","35.9","526.5","2.7","0.1","87.5"
"Bub Means","NO","WR80","1.0","6.0","0.0","38.0","518.0","3.0","1.0","87.4"
"Samaje Perine","CIN","RB52","98.9","444.0","3.7","17.9","135.7","0.4","1.9","87.4"
"Gunnar Helm","TEN","TE31","0.0","0.0","0.0","48.9","443.1","3.1","0.2","87.0"
"Tyler Allgeier","ARI","RB53","111.7","425.1","4.2","17.1","108.4","0.2","0.6","86.8"
"AJ Dillon","CAR","RB54","123.0","509.0","3.0","16.0","136.0","1.0","5.0","86.5"
"Malik Washington","MIA","WR81","13.4","80.2","0.7","43.5","390.5","2.3","0.8","85.3"
"Ty Johnson","BUF","RB55","51.6","218.4","2.0","24.9","251.0","2.1","0.2","83.8"
"Jordan James","SF","RB56","100.1","407.1","3.1","16.1","148.0","0.7","1.2","83.7"
"Darius Slayton","NYG","WR82","1.6","8.6","0.0","34.8","512.7","2.5","0.7","83.2"
"Troy Franklin","DEN","WR83","3.0","10.8","0.0","37.0","396.4","3.9","0.6","81.6"
"Tyquan Thornton","KC","WR84","0.0","0.0","0.0","25.4","466.3","3.5","0.1","80.0"
"Braelon Allen","NYJ","RB57","97.3","391.3","4.0","12.9","93.8","0.7","1.7","79.5"
"Zachariah Branch","ATL","WR85","0.0","0.0","0.0","38.3","471.3","2.3","0.4","79.4"
"Tory Horton","SEA","WR86","0.5","3.0","0.0","29.8","401.0","4.2","0.6","79.0"
"Christian Kirk","SF","WR87","0.0","0.0","0.0","36.1","428.0","2.7","0.1","76.9"
"Devaughn Vele","NO","WR88","0.0","0.0","0.0","35.1","423.3","2.8","0.1","76.7"
"Mason Taylor","NYJ","TE32","0.0","0.0","0.0","44.5","390.9","2.4","0.1","75.4"
"Colby Parkinson","LAR","TE33","0.0","0.0","0.0","34.3","354.4","3.9","0.6","74.7"
"Emari Demercado","KC","RB58","76.8","426.4","1.7","16.3","118.9","0.8","1.7","74.4"
"Hollywood Brown","PHI","WR89","0.0","0.0","0.0","31.3","389.1","3.3","0.1","73.9"
"Andrei Iosivas","CIN","WR90","2.5","11.1","0.0","31.6","394.2","2.9","0.1","73.8"
"David Njoku","LAC","TE34","0.0","0.0","0.0","34.7","324.2","3.9","0.1","73.1"
"Ryan Flournoy","DAL","WR91","2.2","12.4","0.1","34.0","383.8","2.7","0.4","72.4"
"Isaac TeSlaa","DET","WR92","0.0","0.0","0.0","25.4","352.4","4.1","0.1","72.4"
"Tre' Harris","LAC","WR93","0.0","0.0","0.0","34.5","408.4","2.5","0.4","72.2"
"Jalen Tolbert","MIA","WR94","0.0","0.0","0.0","35.4","441.7","1.8","0.3","71.8"
"Chris Bell","MIA","WR95","0.0","0.0","0.0","34.2","448.9","1.7","0.4","71.3"
"Caleb Douglas","MIA","WR96","1.0","5.5","0.0","33.1","419.4","2.3","0.7","71.3"
"Mike Washington Jr.","LV","RB59","92.8","352.5","2.1","15.2","121.4","0.6","0.7","70.1"
"Michael Mayer","LV","TE35","0.0","0.0","0.0","40.0","377.4","2.1","0.1","70.1"
"Dyami Brown","WAS","WR97","0.0","0.0","0.0","29.6","392.1","2.7","0.3","69.4"
"Kaelon Black","SF","RB60","93.7","369.8","3.0","8.5","79.2","0.6","1.1","68.6"
"Ted Hurst III","TB","WR98","1.0","6.5","0.0","28.9","390.0","2.6","0.6","68.3"
"Treylon Burks","WAS","WR99","0.0","0.0","0.0","28.3","393.6","2.3","0.2","66.8"
"Ashton Dulin","IND","WR100","5.1","46.2","0.1","24.1","400.4","1.6","0.1","66.5"
"Tank Bigsby","PHI","RB61","85.6","419.1","3.2","3.3","29.3","0.1","0.2","65.6"
"Jack Bech","LV","WR101","0.0","0.0","0.0","34.5","397.8","1.5","0.4","65.2"
"Keaton Mitchell","LAC","RB62","85.2","394.9","1.9","11.5","82.3","0.2","0.7","64.9"
"Dawson Knox","BUF","TE36","0.0","0.0","0.0","28.7","329.0","2.9","0.1","64.6"
"Elic Ayomanor","TEN","WR102","0.0","0.0","0.0","23.9","323.5","3.2","0.0","63.5"
"Theo Johnson","NYG","TE37","0.0","0.0","0.0","27.6","315.0","2.9","0.1","62.4"
"Malik Davis","DAL","RB63","79.6","373.1","2.7","6.6","52.3","0.1","0.1","62.4"
"Chimere Dike","TEN","WR103","10.1","33.6","0.3","26.1","252.9","3.3","0.6","61.8"
"Adam Randall","BAL","RB64","55.1","281.6","2.0","10.3","103.9","1.1","0.6","60.9"
"Jahan Dotson","ATL","WR104","0.0","0.0","0.0","28.7","358.2","1.9","0.2","60.9"
"Jaylin Noel","HOU","WR105","4.2","22.2","0.1","28.8","322.6","1.8","0.3","59.8"
